recipe_id,title,author_id,ingredients,steps,images
1,Chocolate Chip Pancakes,sarah_m,"flour, sugar, eggs, milk, chocolate chips","Mix the ingredients in a bowl., Pour the batter into a hot pan., Cook until golden brown.",pancakes_image.jpg
2,Blueberry Muffins,johndoe,"flour, sugar, blueberries, butter, egg, milk, baking powder","Preheat the oven to 375°F (190°C)., Mix dry and wet ingredients separately., Combine and fold in blueberries., Bake in muffin cups for 20-25 minutes.",muffins_image.jpg
3,Spaghetti Carbonara,alice89,"spaghetti, eggs, bacon, parmesan cheese, black pepper","Cook spaghetti al dente., Cook bacon until crispy., Mix eggs, parmesan, and pepper., Toss cooked spaghetti in egg mixture.",carbonara_image.jpg
4,Chicken Alfredo,emily_j,"chicken breasts, fettuccine pasta, heavy cream, butter, garlic, parmesan cheese","Sauté chicken and garlic., Cook pasta and make creamy sauce., Combine and serve with parmesan cheese.",alfredo_image.jpg
5,Classic Chocolate Cake,susan78,"flour, sugar, cocoa powder, eggs, butter, baking soda, buttermilk","Mix dry and wet ingredients., Bake in greased pans., Frost and enjoy.",cake_image.jpg
6,Homemade Pizza,michael_s,"pizza dough, tomato sauce, cheese, pepperoni, olives, bell peppers","Roll out dough, spread sauce, add toppings., Bake in a hot oven until crust is golden., Slice and serve.",pizza_image.jpg
7,Caesar Salad,laura123,"romaine lettuce, croutons, parmesan cheese, Caesar dressing, lemon, olive oil","Toss lettuce with dressing and lemon juice., Top with croutons and parmesan., Drizzle with olive oil.",salad_image.jpg
8,Beef Tacos,chris_m,"ground beef, taco shells, lettuce, tomatoes, cheese, sour cream, salsa","Cook beef with taco seasoning., Assemble tacos with toppings., Serve with salsa and sour cream.",tacos_image.jpg
9,Mango Smoothie,david_r,"mango, yogurt, milk, honey, ice cubes","Blend all ingredients until smooth., Pour into a glass and enjoy.",smoothie_image.jpg
10,Vegetable Stir-Fry,linda_h,"mixed vegetables, tofu, soy sauce, ginger, garlic, sesame oil, rice","Stir-fry vegetables and tofu in sesame oil., Add ginger, garlic, and soy sauce., Serve over cooked rice.",stir_fry_image.jpg
11,Mango Chicken Curry,john_c,"chicken thighs, mango, coconut milk, curry powder, onion, bell pepper, basmati rice","Sear chicken thighs in a pan until golden brown., Add chopped onions and bell peppers., Stir in coconut milk, diced mango, and curry powder., Simmer until chicken is cooked through., Serve over cooked basmati rice.",mango_curry_image.jpg
18,Spicy Shrimp Pasta,maria_s,"shrimp, pasta, tomatoes, garlic, chili flakes, olive oil, parsley","Cook pasta according to package instructions., Sauté garlic and chili flakes in olive oil., Add shrimp and chopped tomatoes, cook until shrimp turns pink., Toss cooked pasta with the shrimp mixture., Garnish with parsley and serve.",spicy_shrimp_pasta_image.jpg
